timestamp,asset_id,vibration_rms_mms,bearing_temp_c
2026-09-01 08:00:00,P-17,2.57,66.2
2026-09-01 08:15:00,P-17,2.45,66.7
2026-09-01 08:30:00,P-17,2.67,66.9
2026-09-01 08:45:00,P-17,2.84,66.2
2026-09-01 09:00:00,P-17,2.71,66.0
2026-09-01 09:15:00,P-17,2.9,66.6
2026-09-01 09:30:00,P-17,2.96,67.0
2026-09-01 09:45:00,P-17,2.81,67.0
2026-09-01 10:00:00,P-17,2.69,66.8
2026-09-01 10:15:00,P-17,2.93,67.0
2026-09-01 10:30:00,P-17,3.08,67.5
2026-09-01 10:45:00,P-17,2.94,67.1
2026-09-01 11:00:00,P-17,2.95,66.6
2026-09-01 11:15:00,P-17,2.81,65.6
2026-09-01 11:30:00,P-17,3.15,67.2
2026-09-01 11:45:00,P-17,2.92,66.6
2026-09-01 12:00:00,P-17,2.96,66.4
2026-09-01 12:15:00,P-17,3.03,66.1
2026-09-01 12:30:00,P-17,3.18,65.6
2026-09-01 12:45:00,P-17,2.9,65.8
2026-09-01 13:00:00,P-17,2.8,65.6
2026-09-01 13:15:00,P-17,2.81,64.6
2026-09-01 13:30:00,P-17,2.75,64.7
2026-09-01 13:45:00,P-17,2.7,64.7
2026-09-01 14:00:00,P-17,2.95,65.9
2026-09-01 14:15:00,P-17,2.63,65.1
2026-09-01 14:30:00,P-17,2.75,64.5
2026-09-01 14:45:00,P-17,2.57,65.1
2026-09-01 15:00:00,P-17,2.57,64.7
2026-09-01 15:15:00,P-17,2.58,63.5
2026-09-01 15:30:00,P-17,2.51,63.3
2026-09-01 15:45:00,P-17,2.67,63.4
2026-09-01 16:00:00,P-17,2.64,63.8
2026-09-01 16:15:00,P-17,2.4,64.3
2026-09-01 16:30:00,P-17,2.18,64.6
2026-09-01 16:45:00,P-17,2.41,63.2
2026-09-01 17:00:00,P-17,2.42,64.4
2026-09-01 17:15:00,P-17,2.17,63.1
2026-09-01 17:30:00,P-17,2.21,64.1
2026-09-01 17:45:00,P-17,2.34,64.0
2026-09-01 18:00:00,P-17,2.25,63.7
2026-09-01 18:15:00,P-17,2.08,63.0
2026-09-01 18:30:00,P-17,2.13,63.0
2026-09-01 18:45:00,P-17,1.88,62.9
2026-09-01 19:00:00,P-17,2.05,64.0
2026-09-01 19:15:00,P-17,2.19,62.9
2026-09-01 19:30:00,P-17,1.92,62.5
2026-09-01 19:45:00,P-17,2.09,62.2
2026-09-01 20:00:00,P-17,2.05,63.7
2026-09-01 20:15:00,P-17,2.13,62.8
2026-09-01 20:30:00,P-17,2.1,64.0
2026-09-01 20:45:00,P-17,2.15,63.2
2026-09-01 21:00:00,P-17,2.19,63.8
